name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating,id,description,previous_employer_1,previous_employer_2,address_1,address_2
Ariel Rogers,https://dummyimage.com/647x417,MSc in Computer Science,29,Principal Full Stack Developer,Anderson-Jackson,API Development,"Node.js, REST APIs, JavaScript, React, Angular",2.8,15,No description available,Moore-Cannon,Reed-Riddle,"6679 Bryant Corner Apt. 330
Joanneborough, MI 46548","7372 Christopher Rue Apt. 240
Ernestburgh, CO 33362"
Erica Archer,https://picsum.photos/330/897,BSc in Information Technology,38,DevOps Engineer,Gonzalez Group,Infrastructure as Code,"CI/CD, Shell Scripting, Ansible, Terraform, Azure",4.4,16,"Expert in automation, continuous integration, and efficient deployment processes.",Richardson-Dunn,"Ellison, Olson and Nelson","681 Cristina Ford Suite 765
South Randall, UT 79536","USCGC Moore
FPO AP 28360"
Michael Burke,https://picsum.photos/320/402,BSc in Computer Science,40,Backend Developer,Miles LLC,Microservices Architecture,"Java, SQL, Python, REST APIs, Go",4.7,17,"Expert in server-side development, databases, and API integration to support frontend applications.",Robertson and Sons,Gonzalez PLC,"USCGC Scott
FPO AA 86202","92566 Benson Key Apt. 455
New Laurenview, NH 39399"
Andrew Anderson,https://dummyimage.com/47x1002,MSc in Computer Science,9,Senior Mobile App Developer,"Yoder, Brooks and Allen",iOS Development,"React Native, Mobile UI Design, Kotlin, Flutter, Swift",3.7,18,No description available,Peterson Group,Miles LLC,"37094 Chang Village Suite 065
Carterchester, MO 68579","12776 Andrea Square
Ortizton, MT 25371"
Cathy Collins MD,https://dummyimage.com/390x328,PhD in Data Science,12,Senior Data Scientist,Simon-Hutchinson,Big Data,"Natural Language Processing, Statistics, Big Data, Data Visualization, Data Mining",2.5,19,No description available,Dodson-Graves,"Carpenter, Foley and Maddox","4146 Collins Trafficway
West Sandrastad, DC 70242","7596 Hancock Harbor Apt. 059
East Jasonmouth, DC 71496"
Billy Robbins,https://placekitten.com/116/839,PhD in Computer Science,39,Senior AI Scientist,Hernandez Ltd,Deep Learning,"Reinforcement Learning, Machine Learning, Python, Algorithm Development, PyTorch",1.5,20,No description available,Marquez PLC,"Moore, Barber and Hatfield","PSC 9315, Box 6352
APO AA 77701","854 Cabrera Shoals Suite 156
New Christopher, DC 72265"
Stephanie Reese,https://placekitten.com/730/874,MSc in Data Engineering,30,Data Engineer,Lowery-Villanueva,Data Pipeline Development,"Apache Spark, Database Management, Hadoop, ETL, SQL",4.1,21,"Skilled in building and maintaining data pipelines, ensuring data integrity and availability for analysis.",Alvarez and Sons,Jones Ltd,"21171 Brandon Branch
Crystalport, MI 01225","26686 Emily River
North Ellenland, ND 40399"
Jeff Harris,https://dummyimage.com/176x309,MSc in Blockchain Technology,30,Blockchain Developer,Williams-Meyer,Cryptography,"Solidity, Hyperledger, Distributed Systems, Cryptography, Blockchain Development",4.0,22,"Experienced in developing and implementing blockchain solutions, including smart contracts and decentralized applications.",Wilson-Evans,"Kelly, Wong and Burch","97718 Walters Parks Suite 377
Mannstad, GA 01204","0103 Graham Point
Lake Parkershire, KS 90803"
Stephen Miller,https://dummyimage.com/246x422,MSc in Data Engineering,25,Principal Data Engineer,"Hodges, Boyd and Perez",Data Engineering,"Big Data, Data Pipeline Development, ETL, Apache Spark, Data Warehousing",2.7,23,No description available,"Diaz, Flores and Boyd","Smith, Burke and Savage","58164 Hart Harbors
Stephensonburgh, MN 11982","1335 Vickie Pine
Lawrencebury, MO 65337"
Jamie Mcdonald,https://picsum.photos/182/865,MSc in Computer Science,31,Senior Software Engineer,Wood Ltd,Cloud Computing,"System Architecture, Debugging, Database Management, API Development, Agile Methodologies",1.5,24,"Seasoned software engineer with expertise in software design, development, and system architecture.","Haas, Jones and Moore","Davis, Davis and Clarke","2924 Andrew Junctions Suite 967
Lake Lisafort, PA 92484","79126 Clark Knoll Apt. 115
Katherineton, FM 23842"
Kristina Torres,https://picsum.photos/713/94,BSc in Data Engineering,18,Senior Data Engineer,Hobbs Ltd,Big Data,"Apache Spark, Hadoop, SQL, Database Management, Python",1.3,25,No description available,Richards-Smith,"Blackwell, Sherman and Thomas","6996 Davis Orchard Apt. 464
West Joseph, TX 26527","35779 George Locks Apt. 705
Emilyborough, MD 94123"
William Ramos,https://picsum.photos/988/471,BSc in Computer Science,21,Blockchain Developer,Doyle-Turner,Smart Contracts,"Smart Contracts, Cryptography, Distributed Systems, Hyperledger, Blockchain Development",2.1,26,"Experienced in developing and implementing blockchain solutions, including smart contracts and decentralized applications.",Austin-Carlson,Gillespie PLC,"USNS Phelps
FPO AA 06719","403 Jones Plains Apt. 200
North Juliaview, VT 97582"
Megan Williams,https://dummyimage.com/803x384,MSc in Computer Science,5,Full Stack Developer,"Golden, Andrews and Parker",API Development,"JavaScript, Full Stack Development, React, CSS, Node.js",3.9,27,"Versatile developer with expertise in both frontend and backend development, capable of building complete web applications.",Coleman-Dillon,James-Powers,"7813 Clark Squares Suite 054
New Yvonne, MT 17763","PSC 8652, Box 0461
APO AE 51912"
Kevin Bishop,https://dummyimage.com/818x927,BSc in Business Administration,7,Principal Product Manager,Green PLC,Market Analysis,"Agile, Product Roadmap, Product Lifecycle Management, Scrum, Project Management",1.3,28,No description available,"Estrada, Kennedy and Davis","Williams, Brown and West","6753 Cathy Cliffs
West Mariabury, VI 96998","2964 Robin Inlet
Lake Mariaborough, PW 43471"
Kendra Hughes,https://placekitten.com/963/986,BSc in Cybersecurity,25,Senior Cybersecurity Analyst,Taylor Group,Threat Intelligence,"Ethical Hacking, Incident Response, Security Information and Event Management (SIEM), Penetration Testing, Firewall Management",2.2,29,No description available,"Matthews, White and Patel",Reyes PLC,"17055 Fox Ferry
Kiddshire, OK 82309","0094 Caroline Run
Mahoneyberg, NJ 64798"
Alicia Sosa,https://placekitten.com/980/83,BSc in Computer Science,2,Senior Backend Developer,Hall PLC,API Development,"NoSQL Databases, Backend Development, Java, SQL, Microservices",1.3,30,No description available,"Russell, Hernandez and Cruz",Ramirez-Perez,"5052 Flores Mountain Suite 408
Bonillafurt, DC 48710","USNS Palmer
FPO AE 97931"
Misty Hanson,https://picsum.photos/409/916,MSc in Data Engineering,24,Senior Data Engineer,Williams-Nelson,Big Data,"Database Management, Python, Apache Spark, Data Pipeline Development, Hadoop",3.8,31,No description available,Williams-Owens,"Powell, Edwards and Walters","USNV Clayton
FPO AE 69543","017 Duarte Crossing
Whiteheadview, MD 85729"
Zachary Walton,https://placekitten.com/537/372,MSc in Computer Science,34,Lead Software Developer,Olson-Robinson,Database Systems,"API Development, Debugging, System Architecture, Python, C++",2.5,32,No description available,"Salazar, Navarro and Howard",Long-Sloan,"62899 Cynthia Hill
Jonesborough, PW 98840","137 Figueroa Ways
Melissaside, MD 53918"
Melissa Gallegos,https://placekitten.com/482/971,MSc in Data Engineering,37,Principal Data Engineer,Wu-Campbell,Data Pipeline Development,"Hadoop, Data Pipeline Development, Big Data, SQL, Database Management",2.6,33,No description available,Diaz LLC,Figueroa-Snow,"07360 Rose Squares
Terryhaven, UT 85715","349 Moore Spurs Apt. 646
Stoneville, MA 67529"
William Buchanan,https://placekitten.com/161/1024,PhD in Artificial Intelligence,25,Senior AI Scientist,Ayala Ltd,Natural Language Processing,"Python, TensorFlow, Algorithm Development, Natural Language Processing, Computer Vision",4.2,34,No description available,"Cline, Christensen and Raymond",Moore Inc,"006 Melendez Lock Apt. 115
Lake Shawnhaven, WI 17464","USS Lawson
FPO AE 03486"
Maria Gomez,https://dummyimage.com/474x616,BSc in Computer Science,5,Senior Mobile App Developer,Fitzgerald and Sons,Mobile App Development,"Cross-Platform Development, Android Development, Kotlin, Mobile UI Design, iOS Development",2.6,35,No description available,Young Group,Robertson Ltd,"456 Davis Heights Suite 025
South Hannah, FM 92956","0595 Cruz Spring
Tranfurt, IN 89774"
Michael Grant,https://placekitten.com/627/723,MSc in Computer Science,30,Senior Software Engineer,Wiley-Beck,Software Engineering,"C++, Java, Python, Agile Methodologies, API Development",3.8,36,"Seasoned software engineer with expertise in software design, development, and system architecture.",Andersen and Sons,Camacho-Scott,"5215 Acosta Mount Apt. 406
Ellisfurt, MI 90039","266 Erika Mount Suite 153
Richardside, MN 45104"
Brandy Small,https://placekitten.com/180/387,BSc in Computer Science,40,Principal Backend Developer,Berg-Clay,Microservices Architecture,"Backend Development, Node.js, SQL, Java, Microservices",1.6,37,No description available,Church-Kemp,Zhang LLC,"23809 Hall Alley
North Garyport, UT 78135","794 Sanders Causeway Suite 734
Tiffanyside, NV 30777"
Tracy Bauer,https://placekitten.com/1004/883,PhD in Computer Science,31,Principal Software Engineer,"Stokes, Allen and Stevens",Cloud Computing,"Python, Agile Methodologies, Database Management, API Development, System Architecture",3.7,38,No description available,"Harrington, Reed and Hughes","Allen, Crawford and Richardson","0496 Erica View
New Jessica, UT 63836","402 Burke Locks
West Joshuaberg, AK 44125"
Monica Sharp,https://dummyimage.com/928x496,BSc in Computer Science,36,Principal Software Engineer,Taylor Ltd,Software Engineering,"C++, API Development, Python, Java, System Architecture",3.1,39,No description available,"Spencer, Dickson and Lee",Ritter-Hale,"294 Nancy Junction Suite 112
West Michael, CO 33837","123 Valerie Views Apt. 587
Lake Michael, AL 87860"
Felicia Smith,https://placekitten.com/320/799,MSc in Computer Science,29,Senior Mobile App Developer,"Waller, Brooks and Macias",Mobile App Development,"Android Development, Flutter, React Native, Mobile UI Design, Cross-Platform Development",3.8,40,No description available,"Gardner, Gonzalez and Tran","Mcmillan, Cervantes and Miller","27905 Kenneth Canyon
Lake Carla, OK 97570","USNV Collins
FPO AA 93629"
John Thompson,https://placekitten.com/92/957,MSc in Information Systems,25,Senior Systems Analyst,Rivera Inc,Process Improvement,"Process Improvement, Database Management, Requirements Gathering, System Analysis, UML",1.4,41,No description available,"Ellis, Williams and Young",Wilson Inc,"593 Erica Locks
Joseport, MO 63835","66882 Henderson Parks
North Anneport, CA 94976"
Kelly Leonard,https://picsum.photos/48/726,PhD in Computer Science,15,Principal Software Engineer,"Melendez, Sheppard and Phillips",Database Systems,"C++, Python, API Development, Database Management, Java",4.8,42,No description available,Butler-Edwards,"Adams, Weber and Perry","286 James Port Suite 684
Wilsonview, NV 90637","39745 Horton Light
New Emilyburgh, OR 97128"
Michael Vasquez,https://dummyimage.com/877x560,PhD in Computer Science,33,AI Researcher,Porter and Sons,Artificial Intelligence,"Deep Learning, Python, Computer Vision, Algorithm Development, Reinforcement Learning",3.6,43,Dedicated to advancing artificial intelligence through research and development in machine learning and deep learning.,"Thompson, Brown and Hansen",Harvey Ltd,"443 Susan Tunnel Apt. 267
South Raymond, IN 35261","5324 Jones Lane
New Janicebury, WV 43372"
Jeffery Lopez,https://dummyimage.com/765x216,MSc in Computer Science,26,Principal Mobile App Developer,Zamora Group,Android Development,"Mobile UI Design, Android Development, Flutter, Kotlin, React Native",4.9,44,No description available,"Mckay, Marquez and Solomon","Adams, Weaver and Hernandez","08038 Alvarez Corner Suite 927
Steveville, WY 64494","24243 Harrison Corners
Johnnyshire, ME 44526"
Connie Massey,https://dummyimage.com/459x953,MSc in Computer Science,26,Principal Backend Developer,Baird Group,API Development,"NoSQL Databases, Go, Node.js, SQL, REST APIs",2.6,45,No description available,Moreno-Jimenez,Johnson LLC,"93976 Patricia Junction
Michellebury, AK 37367","05305 Ryan Ways
Brownhaven, PW 51999"
Brian Rush,https://picsum.photos/436/963,BSc in Information Technology,15,Senior Frontend Developer,Wolf-Hanna,Web Development,"Angular, TypeScript, React, HTML, Vue.js",1.8,46,No description available,"Mitchell, Baker and Ho","Dominguez, Short and Graves","982 Kelly Pines
Hoffmanshire, UT 33692","512 Michael Via
West Anthony, GA 85923"
Kimberly Carson,https://placekitten.com/1007/1011,MSc in Data Science,36,Data Scientist,"Snyder, Steele and Carpenter",Big Data,"Machine Learning, Data Mining, R, SQL, Data Visualization",2.5,47,"Skilled in data analysis, machine learning, and transforming data into actionable insights.","Becker, Jimenez and Joseph","Beck, Arias and Nelson","267 Anita Prairie
Johnsonview, KS 14915","PSC 2511, Box 6359
APO AE 56141"
Valerie Blackburn,https://picsum.photos/716/933,MSc in Data Engineering,20,Senior Data Engineer,Douglas-Carrillo,Data Pipeline Development,"Database Management, Data Pipeline Development, Python, ETL, Hadoop",3.3,48,No description available,Patel-Hernandez,"Rose, Williams and Cox","256 Hunt Plain Suite 168
South Christina, CA 87356","630 Dana Valley Suite 643
Ibarrahaven, PA 10670"
Matthew Pena,https://dummyimage.com/1005x890,BSc in Data Science,18,Data Scientist,Nelson-Charles,Big Data,"SQL, Python, Natural Language Processing, Data Visualization, Statistics",2.1,49,"Skilled in data analysis, machine learning, and transforming data into actionable insights.","Bolton, Aguilar and Ramirez","Jenkins, Mendoza and Robinson","371 Vargas Underpass
South Timothy, TX 68780","3107 Medina Points
Saraborough, NJ 31299"
James Foster,https://placekitten.com/66/874,BSc in Data Engineering,8,Senior Data Engineer,Foley-Miller,Data Engineering,"Apache Spark, Data Warehousing, Big Data, SQL, ETL",1.5,50,No description available,Aguilar-Barnes,Johnson-Farley,"03440 Taylor Pines Suite 951
South Debra, NY 63269","Unit 8407 Box 6082
DPO AP 41543"
Robert Madden,https://placekitten.com/816/978,MBA,13,Senior Product Manager,Marsh-Craig,Product Management,"Product Lifecycle Management, Stakeholder Management, Market Research, Product Roadmap, User Experience",3.3,51,No description available,"Hughes, Gilbert and Kennedy",Ashley and Sons,"188 Mata Plaza Apt. 735
Reynoldsbury, DC 26280","997 Young Fork
Salazarfort, IN 49132"
Jennifer Adams,https://picsum.photos/158/614,MSc in Information Technology,33,Senior DevOps Engineer,Gonzalez and Sons,Cloud Computing,"Kubernetes, Terraform, Linux, Shell Scripting, Azure",4.5,52,No description available,Hurst-Ray,Davies LLC,"1870 Brian Villages Apt. 750
Lewisland, DE 77649","986 Martinez Key Apt. 760
New Lukeburgh, NY 01219"
Nicole Stevens,https://dummyimage.com/340x976,BSc in Cybersecurity,20,Principal Cybersecurity Specialist,Saunders Group,Incident Response,"Vulnerability Assessment, Incident Response, Firewall Management, Penetration Testing, Cryptography",3.9,53,No description available,Cardenas-Lewis,Gill Ltd,"2222 Dickerson Streets
Michaelchester, FL 88453","49199 Megan Vista
Lake Kenneth, MS 15871"
Gregory Garcia,https://picsum.photos/32/652,PhD in Computer Science,18,Lead Software Developer,Rhodes-Sanchez,Cloud Computing,"Agile Methodologies, System Architecture, Database Management, Python, Debugging",3.2,54,No description available,Stanton LLC,Terry-Molina,"90546 Mason Plain
Port Priscillahaven, WY 90916","42075 Antonio Springs Apt. 199
New Mackenzie, LA 92423"
Dr. Alice Haynes,https://dummyimage.com/910x540,BSc in Information Technology,40,Principal DevOps Engineer,Wilson-Taylor,Automation,"Terraform, Kubernetes, Ansible, Docker, Linux",1.9,55,No description available,Wagner Group,Rodriguez Group,"1879 Zimmerman Village
North Kevinburgh, AR 47454","02236 Shane Union Suite 813
New Katrina, AS 01440"
Anna Garcia,https://picsum.photos/244/768,BSc in Information Technology,7,Senior DevOps Engineer,Kelley-Hart,Cloud Computing,"Shell Scripting, Kubernetes, CI/CD, Linux, AWS",2.7,56,No description available,Reyes and Sons,"Vazquez, Holmes and Lawrence","00705 Hall Roads
Yolandaberg, TX 58886","243 Crane Mall Apt. 795
Roberttown, OK 23452"
Teresa Hancock,https://picsum.photos/994/751,BSc in Information Systems,4,Systems Analyst,"Evans, Ellis and White",Business Analysis,"UML, System Integration, System Analysis, Database Management, Process Improvement",2.5,57,Experienced in analyzing and improving system processes to enhance business operations.,"Walls, Martinez and Gentry","Rodriguez, Mays and Santos","567 Cox Skyway Suite 960
New Lisashire, GA 88600","31655 James Summit
Waltonton, NJ 66315"
Stacey Smith,https://dummyimage.com/49x310,MSc in Computer Science,4,Senior Full Stack Developer,Garrett-Ferrell,Frontend and Backend Integration,"REST APIs, SQL, Node.js, React, Full Stack Development",3.9,58,No description available,"Potts, Trujillo and Cabrera","Maldonado, Bell and Smith","365 Wilkerson Curve Suite 222
Rowlandchester, WV 56497","08086 Oconnor Point Suite 347
Jessicamouth, DC 18827"
Alicia Lopez,https://picsum.photos/25/989,MSc in Blockchain Technology,32,Senior Blockchain Engineer,"Gilbert, Smith and Hebert",Smart Contracts,"Bitcoin, Hyperledger, Solidity, Distributed Systems, Blockchain Development",1.5,59,No description available,Vincent-Franco,Mcbride Group,"1625 Smith Estates
Port Dennis, TN 51103","69673 Rachel Station
Hudsonburgh, RI 56358"
Samantha Banks,https://dummyimage.com/728x560,MSc in Information Systems,20,Principal Systems Analyst,Williams Ltd,Process Improvement,"System Analysis, UML, System Integration, Technical Documentation, Database Management",3.6,60,No description available,"Davis, Hutchinson and Duncan","Perez, Webb and Jackson","51692 Robinson Parkways Apt. 053
West Sarahaven, OK 24509","USS Olsen
FPO AA 95298"
Elizabeth Chung,https://picsum.photos/367/339,BSc in Computer Science,37,Senior Mobile App Developer,Padilla-Stevenson,iOS Development,"Android Development, Mobile UI Design, Cross-Platform Development, React Native, iOS Development",2.2,61,No description available,"Anderson, Powell and Gates",Lucas Group,"8050 Timothy Springs
North Theresamouth, VI 09870","30095 Monica Throughway
West Cynthiastad, GU 89749"
Russell Parker,https://dummyimage.com/183x94,MSc in Cybersecurity,20,Cybersecurity Expert,Kramer-Fields,Incident Response,"Security Information and Event Management (SIEM), Incident Response, Cryptography, Penetration Testing, Vulnerability Assessment",3.2,62,"Specialist in protecting systems, networks, and data from cyber threats and vulnerabilities.","Shelton, Bennett and Rice",Nicholson and Sons,"18488 Francis Meadows Suite 898
East Kristy, MS 09615","09424 Melissa Prairie
Port Josephchester, PW 65551"
Mark Barajas,https://placekitten.com/372/618,PhD in Data Science,15,Data Scientist,Nguyen PLC,Big Data,"SQL, R, Natural Language Processing, Statistics, Data Mining",4.4,63,"Skilled in data analysis, machine learning, and transforming data into actionable insights.","Gutierrez, Gibson and Reynolds",Lane PLC,"8064 Dennis Garden Apt. 951
Mooreport, HI 06454","7274 Morris Key Apt. 054
Lisatown, ID 52138"
Christina Cortez,https://picsum.photos/761/978,MSc in Blockchain Technology,18,Senior Blockchain Engineer,Dennis Inc,Decentralized Applications (DApps),"Blockchain Development, Bitcoin, Consensus Algorithms, Solidity, Cryptography",1.4,64,No description available,"Blake, Roberts and Reed","Wood, Weiss and Peterson","465 Dylan Junction Suite 619
Franktown, IN 65771","1684 Fletcher Stravenue Suite 728
South Catherine, UT 71773"
Michael Collier,https://picsum.photos/450/470,BSc in Computer Science,18,Frontend Developer,James-Haynes,Responsive Design,"UI/UX Design, CSS, React, Vue.js, Angular",3.2,65,Proficient in creating engaging and responsive user interfaces using modern web technologies.,"Hernandez, Brown and Hill",Ruiz-Stephenson,"75852 Christopher Rapids
East William, CT 34835","2382 Valerie Centers Apt. 334
Guerrashire, TN 79040"
Christopher Johnson,https://placekitten.com/333/742,MSc in Information Systems,5,Systems Analyst,Ferguson-Michael,System Integration,"Database Management, Business Analysis, Technical Documentation, UML, System Integration",1.8,66,Experienced in analyzing and improving system processes to enhance business operations.,Howell Ltd,Cochran Inc,"0419 Darrell Shore Suite 745
Smithtown, PW 95742","9717 Hicks Shoals
Lake Angela, NY 74215"
Brian Rodriguez,https://placekitten.com/227/366,BSc in Computer Science,30,Backend Developer,Moore LLC,Database Management,"NoSQL Databases, REST APIs, Java, SQL, Backend Development",4.2,67,"Expert in server-side development, databases, and API integration to support frontend applications.",Cook PLC,Hurst and Sons,"1791 Bradford View
Smithbury, PA 96119","85318 Freeman Key
Richardstad, NC 67843"
Andrew Finley,https://placekitten.com/572/422,PhD in Artificial Intelligence,8,Senior AI Scientist,"Dixon, Walsh and Lester",Deep Learning,"Reinforcement Learning, Deep Learning, Computer Vision, TensorFlow, Algorithm Development",3.1,68,No description available,"Rogers, Orr and Rodriguez",Mays-Blevins,"1561 Brian Ports
Angelashire, AR 07783","2571 David Route Apt. 697
West Mario, MT 72389"
Sarah Becker,https://placekitten.com/839/66,MSc in Information Systems,10,Principal Systems Analyst,Brown PLC,Systems Analysis,"System Analysis, Database Management, Technical Documentation, System Integration, UML",1.7,69,No description available,Bryant LLC,Clements-Krueger,"4934 Dodson Pass Apt. 861
Erinside, UT 22634","5798 White Corners Apt. 059
Smithmouth, GA 59967"
Nicole Krause,https://dummyimage.com/857x493,BSc in Network Engineering,2,Senior Network Engineer,Holmes-Poole,Network Design,"VPN, Network Design, Network Security, LAN/WAN, Wireless Networking",1.1,70,No description available,"Wilson, Webb and Fischer",Stewart Ltd,"27940 Walsh Court Apt. 467
Melvinshire, NY 67398","315 James Village Suite 102
Barrfort, WV 21397"
Samantha Ford,https://dummyimage.com/256x43,MSc in Information Technology,2,DevOps Engineer,"Gomez, Palmer and Walls",DevOps,"Docker, Kubernetes, Azure, Linux, CI/CD",1.3,71,"Expert in automation, continuous integration, and efficient deployment processes.",Daniel-Adams,"Harper, Hopkins and Walter","Unit 7372 Box 3439
DPO AE 54415","31943 Dunlap Crest Suite 476
South Josetown, MN 32732"
James Norman,https://picsum.photos/71/335,MSc in Information Systems,40,Systems Analyst,Mclaughlin Inc,Business Analysis,"Database Management, Requirements Gathering, System Integration, Business Analysis, System Analysis",2.4,72,Experienced in analyzing and improving system processes to enhance business operations.,"Wood, Cervantes and Smith",Peck Ltd,"PSC 8174, Box 0952
APO AP 95499","87000 Crystal Street
Ginahaven, RI 81316"
James Shaw,https://placekitten.com/37/575,PhD in Computer Science,24,AI Researcher,"Phillips, Black and Clark",Computer Vision,"TensorFlow, Algorithm Development, PyTorch, Deep Learning, Natural Language Processing",1.4,73,Dedicated to advancing artificial intelligence through research and development in machine learning and deep learning.,"Espinoza, Reyes and Rodriguez",Collins-Ellis,"3127 Alexandria Valley Suite 594
North Bobbyside, FM 23104","04033 Kayla Motorway
Teresaside, AK 30423"
Nathaniel Cox,https://placekitten.com/109/993,MSc in Network Engineering,16,Principal Network Engineer,Garcia Group,Network Administration,"Wireless Networking, Firewall Configuration, VPN, Cisco, LAN/WAN",3.7,74,No description available,"Austin, Young and Miller","Williams, Howard and Schmitt","6759 Chris Rue
Heatherberg, LA 05514","657 White Overpass Suite 353
Millerberg, PR 05219"
Peter Weaver,https://placekitten.com/740/272,BSc in Network Engineering,23,Senior Network Engineer,Flores-Pruitt,Network Administration,"TCP/IP, LAN/WAN, Network Troubleshooting, Network Design, Cisco",2.2,75,No description available,"Goodwin, Rhodes and Tate","Simmons, Jones and Arias","40575 Laura Lodge Suite 389
Kathrynborough, DC 67834","27948 Conner Port
Theresahaven, HI 68062"
