name,photo,qualification,work_experience,current_position,current_employer,field_of_expertise,skills,average_rating
Joy Francis,https://placekitten.com/200/922,BSc in Computer Science,18,Blockchain Developer,Mathews Inc,Decentralized Applications (DApps),"Blockchain Development, Ethereum, Cryptography, Bitcoin, Consensus Algorithms",4.7
Ariel Rogers,https://dummyimage.com/647x417,MSc in Computer Science,29,Principal Full Stack Developer,Anderson-Jackson,API Development,"Node.js, REST APIs, JavaScript, React, Angular",2.8
Erica Archer,https://picsum.photos/330/897,BSc in Information Technology,38,DevOps Engineer,Gonzalez Group,Infrastructure as Code,"CI/CD, Shell Scripting, Ansible, Terraform, Azure",4.4
Michael Burke,https://picsum.photos/320/402,BSc in Computer Science,40,Backend Developer,Miles LLC,Microservices Architecture,"Java, SQL, Python, REST APIs, Go",4.7
Andrew Anderson,https://dummyimage.com/47x1002,MSc in Computer Science,9,Senior Mobile App Developer,"Yoder, Brooks and Allen",iOS Development,"React Native, Mobile UI Design, Kotlin, Flutter, Swift",3.7
Cathy Collins MD,https://dummyimage.com/390x328,PhD in Data Science,12,Senior Data Scientist,Simon-Hutchinson,Big Data,"Natural Language Processing, Statistics, Big Data, Data Visualization, Data Mining",2.5
Billy Robbins,https://placekitten.com/116/839,PhD in Computer Science,39,Senior AI Scientist,Hernandez Ltd,Deep Learning,"Reinforcement Learning, Machine Learning, Python, Algorithm Development, PyTorch",1.5
Stephanie Reese,https://placekitten.com/730/874,MSc in Data Engineering,30,Data Engineer,Lowery-Villanueva,Data Pipeline Development,"Apache Spark, Database Management, Hadoop, ETL, SQL",4.1
Jeff Harris,https://dummyimage.com/176x309,MSc in Blockchain Technology,30,Blockchain Developer,Williams-Meyer,Cryptography,"Solidity, Hyperledger, Distributed Systems, Cryptography, Blockchain Development",4.0
Stephen Miller,https://dummyimage.com/246x422,MSc in Data Engineering,25,Principal Data Engineer,"Hodges, Boyd and Perez",Data Engineering,"Big Data, Data Pipeline Development, ETL, Apache Spark, Data Warehousing",2.7
Jamie Mcdonald,https://picsum.photos/182/865,MSc in Computer Science,31,Senior Software Engineer,Wood Ltd,Cloud Computing,"System Architecture, Debugging, Database Management, API Development, Agile Methodologies",1.5
Kristina Torres,https://picsum.photos/713/94,BSc in Data Engineering,18,Senior Data Engineer,Hobbs Ltd,Big Data,"Apache Spark, Hadoop, SQL, Database Management, Python",1.3
William Ramos,https://picsum.photos/988/471,BSc in Computer Science,21,Blockchain Developer,Doyle-Turner,Smart Contracts,"Smart Contracts, Cryptography, Distributed Systems, Hyperledger, Blockchain Development",2.1
Megan Williams,https://dummyimage.com/803x384,MSc in Computer Science,5,Full Stack Developer,"Golden, Andrews and Parker",API Development,"JavaScript, Full Stack Development, React, CSS, Node.js",3.9
Kevin Bishop,https://dummyimage.com/818x927,BSc in Business Administration,7,Principal Product Manager,Green PLC,Market Analysis,"Agile, Product Roadmap, Product Lifecycle Management, Scrum, Project Management",1.3
Kendra Hughes,https://placekitten.com/963/986,BSc in Cybersecurity,25,Senior Cybersecurity Analyst,Taylor Group,Threat Intelligence,"Ethical Hacking, Incident Response, Security Information and Event Management (SIEM), Penetration Testing, Firewall Management",2.2
Alicia Sosa,https://placekitten.com/980/83,BSc in Computer Science,2,Senior Backend Developer,Hall PLC,API Development,"NoSQL Databases, Backend Development, Java, SQL, Microservices",1.3
Misty Hanson,https://picsum.photos/409/916,MSc in Data Engineering,24,Senior Data Engineer,Williams-Nelson,Big Data,"Database Management, Python, Apache Spark, Data Pipeline Development, Hadoop",3.8
Zachary Walton,https://placekitten.com/537/372,MSc in Computer Science,34,Lead Software Developer,Olson-Robinson,Database Systems,"API Development, Debugging, System Architecture, Python, C++",2.5
Melissa Gallegos,https://placekitten.com/482/971,MSc in Data Engineering,37,Principal Data Engineer,Wu-Campbell,Data Pipeline Development,"Hadoop, Data Pipeline Development, Big Data, SQL, Database Management",2.6
William Buchanan,https://placekitten.com/161/1024,PhD in Artificial Intelligence,25,Senior AI Scientist,Ayala Ltd,Natural Language Processing,"Python, TensorFlow, Algorithm Development, Natural Language Processing, Computer Vision",4.2
Maria Gomez,https://dummyimage.com/474x616,BSc in Computer Science,5,Senior Mobile App Developer,Fitzgerald and Sons,Mobile App Development,"Cross-Platform Development, Android Development, Kotlin, Mobile UI Design, iOS Development",2.6
Michael Grant,https://placekitten.com/627/723,MSc in Computer Science,30,Senior Software Engineer,Wiley-Beck,Software Engineering,"C++, Java, Python, Agile Methodologies, API Development",3.8
Brandy Small,https://placekitten.com/180/387,BSc in Computer Science,40,Principal Backend Developer,Berg-Clay,Microservices Architecture,"Backend Development, Node.js, SQL, Java, Microservices",1.6
Tracy Bauer,https://placekitten.com/1004/883,PhD in Computer Science,31,Principal Software Engineer,"Stokes, Allen and Stevens",Cloud Computing,"Python, Agile Methodologies, Database Management, API Development, System Architecture",3.7
Monica Sharp,https://dummyimage.com/928x496,BSc in Computer Science,36,Principal Software Engineer,Taylor Ltd,Software Engineering,"C++, API Development, Python, Java, System Architecture",3.1
Felicia Smith,https://placekitten.com/320/799,MSc in Computer Science,29,Senior Mobile App Developer,"Waller, Brooks and Macias",Mobile App Development,"Android Development, Flutter, React Native, Mobile UI Design, Cross-Platform Development",3.8
John Thompson,https://placekitten.com/92/957,MSc in Information Systems,25,Senior Systems Analyst,Rivera Inc,Process Improvement,"Process Improvement, Database Management, Requirements Gathering, System Analysis, UML",1.4
Kelly Leonard,https://picsum.photos/48/726,PhD in Computer Science,15,Principal Software Engineer,"Melendez, Sheppard and Phillips",Database Systems,"C++, Python, API Development, Database Management, Java",4.8
Michael Vasquez,https://dummyimage.com/877x560,PhD in Computer Science,33,AI Researcher,Porter and Sons,Artificial Intelligence,"Deep Learning, Python, Computer Vision, Algorithm Development, Reinforcement Learning",3.6
Jeffery Lopez,https://dummyimage.com/765x216,MSc in Computer Science,26,Principal Mobile App Developer,Zamora Group,Android Development,"Mobile UI Design, Android Development, Flutter, Kotlin, React Native",4.9
Connie Massey,https://dummyimage.com/459x953,MSc in Computer Science,26,Principal Backend Developer,Baird Group,API Development,"NoSQL Databases, Go, Node.js, SQL, REST APIs",2.6
Brian Rush,https://picsum.photos/436/963,BSc in Information Technology,15,Senior Frontend Developer,Wolf-Hanna,Web Development,"Angular, TypeScript, React, HTML, Vue.js",1.8
Kimberly Carson,https://placekitten.com/1007/1011,MSc in Data Science,36,Data Scientist,"Snyder, Steele and Carpenter",Big Data,"Machine Learning, Data Mining, R, SQL, Data Visualization",2.5
Valerie Blackburn,https://picsum.photos/716/933,MSc in Data Engineering,20,Senior Data Engineer,Douglas-Carrillo,Data Pipeline Development,"Database Management, Data Pipeline Development, Python, ETL, Hadoop",3.3
Matthew Pena,https://dummyimage.com/1005x890,BSc in Data Science,18,Data Scientist,Nelson-Charles,Big Data,"SQL, Python, Natural Language Processing, Data Visualization, Statistics",2.1
James Foster,https://placekitten.com/66/874,BSc in Data Engineering,8,Senior Data Engineer,Foley-Miller,Data Engineering,"Apache Spark, Data Warehousing, Big Data, SQL, ETL",1.5
Robert Madden,https://placekitten.com/816/978,MBA,13,Senior Product Manager,Marsh-Craig,Product Management,"Product Lifecycle Management, Stakeholder Management, Market Research, Product Roadmap, User Experience",3.3
Jennifer Adams,https://picsum.photos/158/614,MSc in Information Technology,33,Senior DevOps Engineer,Gonzalez and Sons,Cloud Computing,"Kubernetes, Terraform, Linux, Shell Scripting, Azure",4.5
Nicole Stevens,https://dummyimage.com/340x976,BSc in Cybersecurity,20,Principal Cybersecurity Specialist,Saunders Group,Incident Response,"Vulnerability Assessment, Incident Response, Firewall Management, Penetration Testing, Cryptography",3.9
Gregory Garcia,https://picsum.photos/32/652,PhD in Computer Science,18,Lead Software Developer,Rhodes-Sanchez,Cloud Computing,"Agile Methodologies, System Architecture, Database Management, Python, Debugging",3.2
Dr. Alice Haynes,https://dummyimage.com/910x540,BSc in Information Technology,40,Principal DevOps Engineer,Wilson-Taylor,Automation,"Terraform, Kubernetes, Ansible, Docker, Linux",1.9
Anna Garcia,https://picsum.photos/244/768,BSc in Information Technology,7,Senior DevOps Engineer,Kelley-Hart,Cloud Computing,"Shell Scripting, Kubernetes, CI/CD, Linux, AWS",2.7
Teresa Hancock,https://picsum.photos/994/751,BSc in Information Systems,4,Systems Analyst,"Evans, Ellis and White",Business Analysis,"UML, System Integration, System Analysis, Database Management, Process Improvement",2.5
Stacey Smith,https://dummyimage.com/49x310,MSc in Computer Science,4,Senior Full Stack Developer,Garrett-Ferrell,Frontend and Backend Integration,"REST APIs, SQL, Node.js, React, Full Stack Development",3.9
Alicia Lopez,https://picsum.photos/25/989,MSc in Blockchain Technology,32,Senior Blockchain Engineer,"Gilbert, Smith and Hebert",Smart Contracts,"Bitcoin, Hyperledger, Solidity, Distributed Systems, Blockchain Development",1.5
Samantha Banks,https://dummyimage.com/728x560,MSc in Information Systems,20,Principal Systems Analyst,Williams Ltd,Process Improvement,"System Analysis, UML, System Integration, Technical Documentation, Database Management",3.6
Elizabeth Chung,https://picsum.photos/367/339,BSc in Computer Science,37,Senior Mobile App Developer,Padilla-Stevenson,iOS Development,"Android Development, Mobile UI Design, Cross-Platform Development, React Native, iOS Development",2.2
Russell Parker,https://dummyimage.com/183x94,MSc in Cybersecurity,20,Cybersecurity Expert,Kramer-Fields,Incident Response,"Security Information and Event Management (SIEM), Incident Response, Cryptography, Penetration Testing, Vulnerability Assessment",3.2
Mark Barajas,https://placekitten.com/372/618,PhD in Data Science,15,Data Scientist,Nguyen PLC,Big Data,"SQL, R, Natural Language Processing, Statistics, Data Mining",4.4
Christina Cortez,https://picsum.photos/761/978,MSc in Blockchain Technology,18,Senior Blockchain Engineer,Dennis Inc,Decentralized Applications (DApps),"Blockchain Development, Bitcoin, Consensus Algorithms, Solidity, Cryptography",1.4
Michael Collier,https://picsum.photos/450/470,BSc in Computer Science,18,Frontend Developer,James-Haynes,Responsive Design,"UI/UX Design, CSS, React, Vue.js, Angular",3.2
Christopher Johnson,https://placekitten.com/333/742,MSc in Information Systems,5,Systems Analyst,Ferguson-Michael,System Integration,"Database Management, Business Analysis, Technical Documentation, UML, System Integration",1.8
Brian Rodriguez,https://placekitten.com/227/366,BSc in Computer Science,30,Backend Developer,Moore LLC,Database Management,"NoSQL Databases, REST APIs, Java, SQL, Backend Development",4.2
Andrew Finley,https://placekitten.com/572/422,PhD in Artificial Intelligence,8,Senior AI Scientist,"Dixon, Walsh and Lester",Deep Learning,"Reinforcement Learning, Deep Learning, Computer Vision, TensorFlow, Algorithm Development",3.1
Sarah Becker,https://placekitten.com/839/66,MSc in Information Systems,10,Principal Systems Analyst,Brown PLC,Systems Analysis,"System Analysis, Database Management, Technical Documentation, System Integration, UML",1.7
Nicole Krause,https://dummyimage.com/857x493,BSc in Network Engineering,2,Senior Network Engineer,Holmes-Poole,Network Design,"VPN, Network Design, Network Security, LAN/WAN, Wireless Networking",1.1
Samantha Ford,https://dummyimage.com/256x43,MSc in Information Technology,2,DevOps Engineer,"Gomez, Palmer and Walls",DevOps,"Docker, Kubernetes, Azure, Linux, CI/CD",1.3
James Norman,https://picsum.photos/71/335,MSc in Information Systems,40,Systems Analyst,Mclaughlin Inc,Business Analysis,"Database Management, Requirements Gathering, System Integration, Business Analysis, System Analysis",2.4
James Shaw,https://placekitten.com/37/575,PhD in Computer Science,24,AI Researcher,"Phillips, Black and Clark",Computer Vision,"TensorFlow, Algorithm Development, PyTorch, Deep Learning, Natural Language Processing",1.4
Nathaniel Cox,https://placekitten.com/109/993,MSc in Network Engineering,16,Principal Network Engineer,Garcia Group,Network Administration,"Wireless Networking, Firewall Configuration, VPN, Cisco, LAN/WAN",3.7
Peter Weaver,https://placekitten.com/740/272,BSc in Network Engineering,23,Senior Network Engineer,Flores-Pruitt,Network Administration,"TCP/IP, LAN/WAN, Network Troubleshooting, Network Design, Cisco",2.2
Mary Gray,https://placekitten.com/690/691,BSc in Cybersecurity,30,Senior Cybersecurity Analyst,Johnson PLC,Threat Intelligence,"Penetration Testing, Security Information and Event Management (SIEM), Incident Response, Network Security, Cryptography",3.5
Angela Vega,https://dummyimage.com/43x151,MSc in Network Engineering,20,Senior Network Engineer,Terry and Sons,Network Design,"Cisco, Wireless Networking, Network Troubleshooting, Network Design, Network Security",1.5
Charles Glover,https://dummyimage.com/344x375,BSc in Information Systems,19,Senior Systems Analyst,Santiago-Schmidt,Process Improvement,"Requirements Gathering, Business Analysis, System Analysis, System Integration, Database Management",1.1
Dakota Barrett,https://dummyimage.com/853x1018,MSc in Network Engineering,5,Network Engineer,"Taylor, Bowers and Conley",Network Design,"Firewall Configuration, LAN/WAN, TCP/IP, Wireless Networking, Network Design",4.6
Danny Ramsey,https://picsum.photos/241/999,PhD in Artificial Intelligence,40,AI Researcher,"Mendoza, Young and Lee",Artificial Intelligence,"Algorithm Development, TensorFlow, Machine Learning, PyTorch, Computer Vision",1.2
Karen Williams,https://picsum.photos/936/961,MSc in Data Science,30,Data Scientist,Young PLC,Data Science,"Machine Learning, R, Natural Language Processing, Python, Big Data",1.7
Glen Owens,https://placekitten.com/616/179,BSc in Information Systems,11,Systems Analyst,"Hoover, Townsend and Rogers",System Integration,"Requirements Gathering, Database Management, Business Analysis, Technical Documentation, UML",1.8
William Figueroa,https://placekitten.com/416/667,MSc in Computer Science,30,Senior Backend Developer,"Hunter, Phillips and Roberts",Microservices Architecture,"Python, Go, REST APIs, Java, NoSQL Databases",2.4
Lauren Freeman,https://placekitten.com/128/366,BSc in Computer Science,12,Principal Software Engineer,Jefferson-Wilson,Database Systems,"Database Management, Agile Methodologies, Java, Software Design, API Development",4.0
Jean Torres,https://placekitten.com/260/625,MSc in Information Technology,37,Principal DevOps Engineer,Richardson-Moore,Cloud Computing,"Linux, Terraform, Kubernetes, Azure, Ansible",3.4
Casey Ford,https://picsum.photos/158/451,MSc in Network Engineering,33,Network Engineer,Webster-Johnson,Network Security,"LAN/WAN, Cisco, Network Design, Network Troubleshooting, Network Security",3.3
Christopher Romero,https://dummyimage.com/836x398,MSc in Data Engineering,24,Senior Data Engineer,"Mcbride, Munoz and Mcclure",Data Pipeline Development,"Data Warehousing, Database Management, Apache Spark, SQL, Big Data",1.7
Matthew Cox,https://placekitten.com/722/296,BSc in Information Technology,37,Frontend Developer,"Gordon, Carter and Hinton",UI/UX Design,"CSS, TypeScript, Angular, UI/UX Design, Vue.js",3.7
Breanna Howe MD,https://dummyimage.com/829x936,MSc in Computer Science,16,Principal Full Stack Developer,Sanchez Inc,Full Stack Development,"REST APIs, HTML, Node.js, SQL, Angular",3.0
Karen Reed,https://dummyimage.com/50x929,MSc in Information Technology,23,DevOps Engineer,Walls Ltd,Infrastructure as Code,"Ansible, Terraform, Linux, CI/CD, Kubernetes",2.6
Shane Dickson,https://placekitten.com/963/466,MSc in Computer Science,9,Principal Mobile App Developer,Mclaughlin LLC,Android Development,"Android Development, Swift, Java, React Native, Flutter",2.3
Steven Scott,https://picsum.photos/1016/410,BSc in Cybersecurity,7,Cybersecurity Expert,Jones Inc,Incident Response,"Vulnerability Assessment, Security Information and Event Management (SIEM), Incident Response, Penetration Testing, Firewall Management",2.9
Michael Cohen,https://placekitten.com/140/947,BSc in Computer Science,1,Senior Blockchain Engineer,Medina-Carter,Decentralized Applications (DApps),"Hyperledger, Blockchain Development, Distributed Systems, Consensus Algorithms, Smart Contracts",3.5
Leroy Williamson,https://picsum.photos/107/776,MSc in Computer Science,34,Lead Software Developer,"Payne, Sawyer and Garcia",Database Systems,"API Development, Database Management, Debugging, C++, Java",3.8
Nicholas Mcconnell,https://picsum.photos/355/792,BSc in Data Engineering,26,Senior Data Engineer,Boyer-Garcia,ETL Processes,"Big Data, Database Management, SQL, Python, Hadoop",1.1
Michael Patel DVM,https://dummyimage.com/930x460,MSc in Computer Science,22,Lead Software Developer,"Gonzales, Sullivan and Willis",System Design,"Agile Methodologies, C++, API Development, Software Design, Java",4.7
Laurie Greene,https://placekitten.com/525/22,BSc in Computer Science,38,Principal Blockchain Developer,Carroll-Decker,Blockchain Technology,"Ethereum, Distributed Systems, Consensus Algorithms, Cryptography, Bitcoin",5.0
Mary Anderson,https://picsum.photos/959/980,BSc in Computer Science,26,Senior Software Engineer,Santos PLC,Cloud Computing,"Java, API Development, System Architecture, Software Design, C++",3.1
Jennifer Mahoney,https://dummyimage.com/548x580,PhD in Data Science,3,Data Scientist,Brooks-Wilson,Predictive Analytics,"Statistics, Big Data, Machine Learning, Data Visualization, Python",2.3
Justin Gates,https://picsum.photos/1001/626,BSc in Network Engineering,29,Principal Network Engineer,Copeland-Hudson,Network Design,"LAN/WAN, Firewall Configuration, TCP/IP, Wireless Networking, VPN",3.1
Stephen Gonzales,https://dummyimage.com/584x277,BSc in Information Technology,9,DevOps Engineer,"Ortiz, Zamora and Mckenzie",Automation,"Azure, Terraform, Linux, Ansible, Docker",4.1
Ryan Kaufman,https://dummyimage.com/696x451,BSc in Network Engineering,29,Principal Network Engineer,Mcbride Ltd,Networking,"VPN, LAN/WAN, Wireless Networking, Network Troubleshooting, Firewall Configuration",1.8
Linda Perry,https://placekitten.com/763/49,MBA,2,Senior Product Manager,"Johnson, Scott and Johnson",User Experience,"Product Roadmap, Stakeholder Management, Project Management, Product Lifecycle Management, Agile",2.8
Christine Roberts,https://picsum.photos/71/407,MSc in Computer Science,23,Lead Software Developer,Brewer-Barker,Database Systems,"Python, API Development, Agile Methodologies, Software Design, Debugging",2.6
Stacy Wilson,https://placekitten.com/12/602,MSc in Data Engineering,21,Data Engineer,Taylor and Sons,Data Pipeline Development,"Hadoop, Big Data, Data Warehousing, Apache Spark, Python",3.9
Kelly Olson,https://placekitten.com/932/676,MSc in Information Technology,19,Senior DevOps Engineer,Johnson-Gibson,Cloud Computing,"Linux, Terraform, Kubernetes, CI/CD, Ansible",3.9
Jamie Garza,https://picsum.photos/557/1001,BSc in Information Technology,27,Principal DevOps Engineer,Jarvis and Sons,Automation,"Kubernetes, Docker, Terraform, Linux, Shell Scripting",2.9
Elizabeth Rodriguez,https://placekitten.com/128/222,BSc in Computer Science,40,Frontend Developer,Stewart and Sons,Responsive Design,"HTML, UI/UX Design, TypeScript, JavaScript, Angular",2.0
Max Hutchinson,https://picsum.photos/888/368,MSc in Computer Science,7,Principal Full Stack Developer,"Holmes, French and Smith",Full Stack Development,"REST APIs, Full Stack Development, HTML, JavaScript, React",2.8
Walter Valencia,https://placekitten.com/698/798,BSc in Computer Science,8,Principal Frontend Developer,"Armstrong, Curtis and Hudson",UI/UX Design,"Vue.js, UI/UX Design, JavaScript, TypeScript, React",2.0
Teresa Bates MD,https://dummyimage.com/193x591,BSc in Computer Science,23,Backend Developer,Turner PLC,API Development,"Python, REST APIs, Java, NoSQL Databases, Backend Development",1.9
Jessica Lewis,https://placekitten.com/490/960,MSc in Blockchain Technology,7,Senior Blockchain Engineer,Lynch-Irwin,Decentralized Applications (DApps),"Consensus Algorithms, Blockchain Development, Smart Contracts, Cryptography, Solidity",2.7
Joshua Simmons,https://placekitten.com/983/458,MSc in Computer Science,24,Principal Backend Developer,"Smith, Sawyer and Garcia",Backend Development,"NoSQL Databases, SQL, Backend Development, Node.js, Go",2.7
Charles Mcintosh,https://placekitten.com/1022/692,MSc in Blockchain Technology,15,Principal Blockchain Developer,Carroll Inc,Decentralized Applications (DApps),"Hyperledger, Bitcoin, Solidity, Distributed Systems, Consensus Algorithms",2.7
Terrance Anderson,https://dummyimage.com/543x593,MSc in Information Technology,29,DevOps Engineer,Howard LLC,DevOps,"Terraform, Linux, Kubernetes, Ansible, Docker",1.7
Matthew Ramirez,https://picsum.photos/553/716,BSc in Computer Science,36,Senior Blockchain Engineer,Newman PLC,Decentralized Applications (DApps),"Smart Contracts, Consensus Algorithms, Ethereum, Solidity, Distributed Systems",5.0
Marcus Mayer,https://dummyimage.com/649x925,MSc in Information Technology,9,Principal DevOps Engineer,"Park, Russell and Bell",DevOps,"Shell Scripting, CI/CD, Azure, Docker, Terraform",2.6
Manuel Potter,https://placekitten.com/81/823,BSc in Cybersecurity,9,Cybersecurity Expert,"Kramer, Mejia and Hayes",Network Security,"Security Information and Event Management (SIEM), Penetration Testing, Vulnerability Assessment, Network Security, Incident Response",2.6
Max Davis,https://picsum.photos/480/658,PhD in Data Science,3,Principal Data Scientist,Russell and Sons,Data Science,"Statistics, Python, Natural Language Processing, Data Visualization, R",4.8
David Atkins,https://dummyimage.com/178x473,MSc in Blockchain Technology,30,Senior Blockchain Engineer,Allen Group,Cryptography,"Distributed Systems, Consensus Algorithms, Ethereum, Smart Contracts, Hyperledger",4.1
Carol Bell,https://picsum.photos/918/798,MBA,39,Product Manager,"Strong, Turner and Fields",Product Management,"Stakeholder Management, Scrum, Agile, User Experience, Product Lifecycle Management",2.8
Angel Evans,https://picsum.photos/445/923,BSc in Information Technology,37,Senior DevOps Engineer,Vincent Ltd,Infrastructure as Code,"Kubernetes, Ansible, Linux, Terraform, Shell Scripting",3.2
Ryan Thompson,https://picsum.photos/905/687,PhD in Data Science,40,Principal Data Scientist,Martinez PLC,Big Data,"Machine Learning, Statistics, Big Data, SQL, Python",3.6
Courtney Smith,https://placekitten.com/193/404,MSc in Information Systems,32,Systems Analyst,Ellis-Spears,System Integration,"Process Improvement, UML, Requirements Gathering, System Analysis, Database Management",2.9
Melissa Berg,https://placekitten.com/604/922,MSc in Network Engineering,16,Senior Network Engineer,Mcneil Inc,Network Design,"VPN, Cisco, LAN/WAN, Network Design, TCP/IP",3.0
Joseph Lowery,https://picsum.photos/93/180,MSc in Network Engineering,3,Senior Network Engineer,"Lewis, Barrett and Carr",Network Design,"Network Design, TCP/IP, Wireless Networking, Cisco, Network Security",4.8
Sara Flores,https://placekitten.com/627/397,MSc in Computer Science,1,Senior Software Engineer,Melton-Erickson,System Design,"Agile Methodologies, Database Management, System Architecture, API Development, Java",4.5
Carlos Meyer,https://picsum.photos/386/228,BSc in Network Engineering,24,Network Engineer,Frost-Anderson,Network Security,"LAN/WAN, Network Design, Cisco, Network Security, VPN",4.8
Ryan Mitchell,https://dummyimage.com/777x693,BSc in Computer Science,39,Senior Full Stack Developer,Ramirez Group,Web Development,"SQL, HTML, Node.js, React, Full Stack Development",1.3
Aaron Hunt,https://placekitten.com/230/286,PhD in Computer Science,22,Principal AI Researcher,Lee Group,Deep Learning,"PyTorch, Reinforcement Learning, Machine Learning, Python, TensorFlow",3.5
Jonathan Christensen,https://dummyimage.com/453x874,BSc in Network Engineering,35,Network Engineer,"Tran, Dunlap and Oliver",Network Administration,"VPN, Wireless Networking, Network Security, TCP/IP, Cisco",4.3
Randy Smith,https://picsum.photos/498/244,BSc in Computer Science,17,Principal Full Stack Developer,Smith-Chavez,Full Stack Development,"REST APIs, JavaScript, SQL, Angular, React",1.2
Wayne Powell MD,https://dummyimage.com/146x312,BSc in Information Technology,27,Principal Frontend Developer,Jenkins-Thompson,Frontend Development,"Vue.js, UI/UX Design, HTML, TypeScript, Responsive Design",2.5
Derek Lee,https://picsum.photos/187/481,BSc in Computer Science,9,Principal Backend Developer,Robinson and Sons,API Development,"Java, NoSQL Databases, SQL, REST APIs, Microservices",3.6
Jordan Jones,https://picsum.photos/70/814,PhD in Artificial Intelligence,21,Senior AI Scientist,Parker-Shaw,Natural Language Processing,"Machine Learning, TensorFlow, Algorithm Development, Deep Learning, Reinforcement Learning",1.1
Dana Nguyen,https://placekitten.com/517/562,PhD in Computer Science,30,Principal AI Researcher,Bolton-Le,Deep Learning,"Python, Computer Vision, Machine Learning, Natural Language Processing, Deep Learning",2.4
Carl Gillespie,https://picsum.photos/925/747,BSc in Data Engineering,4,Principal Data Engineer,"King, Kline and Waters",Big Data,"Data Pipeline Development, Apache Spark, Data Warehousing, ETL, SQL",3.5
Angela Smith,https://placekitten.com/838/412,MSc in Computer Science,33,Principal Mobile App Developer,"Sanchez, Garcia and Ford",Android Development,"Android Development, Flutter, Mobile UI Design, React Native, Cross-Platform Development",1.3
Jason Martin,https://dummyimage.com/253x745,BSc in Computer Science,28,Full Stack Developer,"Moore, Smith and Rice",API Development,"Full Stack Development, Angular, REST APIs, React, Node.js",4.0
Julie Martinez,https://dummyimage.com/268x343,BSc in Computer Science,22,Principal Mobile App Developer,Church-Ryan,Android Development,"Swift, React Native, Java, iOS Development, Flutter",2.7
Sandra Patterson,https://dummyimage.com/564x719,BSc in Computer Science,32,Lead Software Developer,"Williams, Brewer and Howard",Software Engineering,"Software Design, Java, Database Management, Debugging, Agile Methodologies",1.1
Matthew Palmer,https://picsum.photos/84/601,MBA,2,Principal Product Manager,Richardson-Lamb,User Experience,"Product Lifecycle Management, Scrum, Project Management, User Experience, Product Roadmap",3.9
Carol Martin,https://picsum.photos/635/194,BSc in Information Technology,35,Frontend Developer,"Nash, Watts and Cline",Responsive Design,"UI/UX Design, Angular, CSS, HTML, Responsive Design",3.0
Bradley Beltran,https://dummyimage.com/84x790,BSc in Information Technology,8,Principal DevOps Engineer,Murphy-Stewart,Infrastructure as Code,"Shell Scripting, Kubernetes, Linux, Ansible, Docker",2.7
